YearMonth,Country,TAVG,TMAX,TMIN,PRCP
2007-06,Colombia,55.53333333333333,64.53846153846153,46.42857142857143,0.23863636363636365
2007-07,Colombia,55.32258064516129,65.6470588235294,46.68181818181818,0.11684210526315789
2007-08,Colombia,55.193548387096776,64.5,47.857142857142854,0.075
2007-09,Colombia,55.56666666666667,64.71428571428571,46.36363636363637,0.02666666666666667
2007-10,Colombia,55.12903225806452,66.4,47.6,0.18210526315789474
2007-11,Colombia,54.9,66.2,45.69230769230769,0.12941176470588234
2007-12,Colombia,54.83870967741935,65.75,46.857142857142854,0.06857142857142857
2008-01,Colombia,54.645161290322584,67.22222222222223,44.54545454545455,0.008
2008-02,Colombia,54.89655172413793,65.66666666666667,40.666666666666664,
2008-03,Colombia,55.45161290322581,64.5,47.0,0.21
2008-04,Colombia,55.9,66.8,46.8,0.16
2008-05,Colombia,55.67741935483871,,,
2008-06,Colombia,55.3,,,
2008-07,Colombia,54.96774193548387,,,
2008-08,Colombia,54.903225806451616,,,
2008-09,Colombia,54.96666666666667,,,
2008-10,Colombia,54.458333333333336,,,
2008-11,Colombia,55.833333333333336,67.0,,
2008-12,Colombia,54.903225806451616,66.0,,
2009-01,Colombia,55.12903225806452,,,
2009-02,Colombia,55.17857142857143,,,
2009-03,Colombia,55.45161290322581,64.0,,
2009-04,Colombia,56.86666666666667,63.0,,
2009-05,Colombia,56.903225806451616,,,
2009-06,Colombia,57.233333333333334,,,
2009-07,Colombia,56.58064516129032,,,
2009-08,Colombia,57.58064516129032,,,
2009-09,Colombia,57.166666666666664,,,
2009-10,Colombia,56.41935483870968,,,
2009-11,Colombia,57.3,,,
2009-12,Colombia,56.096774193548384,72.0,36.5,0.0
2010-01,Colombia,55.645161290322584,71.52941176470588,40.94736842105263,0.038571428571428576
2010-02,Colombia,58.17857142857143,72.27777777777777,47.8235294117647,0.08533333333333333
2010-03,Colombia,58.354838709677416,71.38095238095238,48.76470588235294,0.05842105263157894
2010-04,Colombia,58.4,70.2,51.23529411764706,0.24366666666666667
2010-05,Colombia,58.54838709677419,70.28571428571429,52.1,0.27636363636363637
2010-06,Colombia,57.233333333333334,69.17647058823529,49.888888888888886,0.1672
2010-07,Colombia,56.32258064516129,67.29411764705883,49.94444444444444,0.15346153846153845
2010-08,Colombia,56.193548387096776,66.85714285714286,48.4375,0.09888888888888889
2010-09,Colombia,56.06666666666667,67.3125,48.27777777777778,0.1192
